label_hyperonyme,relation,label_hyponyme
miliaria,hyponyme,fox - fordyce disease
dna - bind protein,hyponyme,hmgb protein
amino acid,hyponyme,phosphoamino acids
respiratory tract fistula,hyponyme,tracheoesophageal fistula
ergotamines,hyponyme,dihydroergotamine
biopolymer,hyponyme,lignin
genetic phenomenon,hyponyme,sex determination process
cellular reprogramme technique,hyponyme,mitochondrial replacement therapy
vibrio,hyponyme,vibrio alginolyticus
transcription factor,hyponyme,smad protein
aryl hydrocarbon hydroxylase,hyponyme,cytochrome p-450 cyp2b6
cinnamate,hyponyme,caffeic acids
plant extract,hyponyme,ipecac
mammal,hyponyme,eutheria
organization,hyponyme,congress as topic
cucurbitaceae,hyponyme,cucurbita
health occupation,hyponyme,psychology medical
indole,hyponyme,oxyphenisatin acetate
gene viral,hyponyme,gene env
pacific states,hyponyme,california
mass screening,hyponyme,substance abuse detection
complementary therapy,hyponyme,medicine traditional
protein biosynthesis,hyponyme,peptide chain elongation translational
brain disease,hyponyme,amnesia transient global
cyclic n - oxides,hyponyme,triacetoneamine - n - oxyl
lipid,hyponyme,lipopeptides
gastroenteritis,hyponyme,appendicitis
pregnancy protein,hyponyme,gonadotropins equine
diagnostic technique obstetrical and gynecological,hyponyme,pregnancy test
pathologic process,hyponyme,gliosis
mitosis modulator,hyponyme,mitogens
fungi unclassified,hyponyme,entomophthorale
plant virus,hyponyme,bromoviridae
embryophyta,hyponyme,equisetum
immune system phenomenon,hyponyme,immunologic surveillance
dibenzoxazepine,hyponyme,dibenz(bf)(14)oxazepine-10(11h)-carboxylic acid 8-chloro- 2-acetylhydrazide
social security,hyponyme,aid to family with dependent child
follicle stimulate hormone,hyponyme,follicle stimulate hormone beta subunit
spinal cord disease,hyponyme,myelitis
leukemia myeloid acute,hyponyme,leukemia promyelocytic acute
biological phenomenon,hyponyme,species specificity
receptor nk cell lectin - like,hyponyme,nk cell lectin - like receptor subfamily d
voltage - dependent anion channel,hyponyme,voltage - dependent anion channel 1
dna tumor virus,hyponyme,gammaherpesvirinae
contraceptive agent female,hyponyme,contraceptive oral
transcription factor,hyponyme,pre - b - cell leukemia transcription factor 1
cell,hyponyme,chromaffin cell
sex chromosome disorder,hyponyme,fragile x syndrome
ancient land,hyponyme,greece ancient
spinal cord,hyponyme,gray matter
cell physiological phenomenon,hyponyme,membrane potentials
psychological test,hyponyme,neuropsychological test
transition element,hyponyme,lawrencium
eggs,hyponyme,egg yolk
benzhydryl compound,hyponyme,orphenadrine
transcription factor tfii,hyponyme,transcription factor tfiid
dentistry,hyponyme,technology dental
musculoskeletal system,hyponyme,muscle
cardiac glycoside,hyponyme,strophanthin
histocytological preparation technique,hyponyme,stain and labeling
metamorphosis biological,hyponyme,molting
ovarian follicle,hyponyme,follicular fluid
health,hyponyme,mental health
legislation as topic,hyponyme,legislation food
viral vaccine,hyponyme,yellow fever vaccine
reproductive physiological phenomenon,hyponyme,menstrual cycle
hospital department,hyponyme,nursing service hospital
pestivirus infection,hyponyme,classical swine fever
cyst,hyponyme,ovarian cyst
cyclins,hyponyme,cyclin e
diptera,hyponyme,muscidae
mind - body therapy,hyponyme,tai ji
immunoglobulin subunit,hyponyme,immunoglobulin light chain
alveolitis extrinsic allergic,hyponyme,farmer 's lung
transcription factor tfiid,hyponyme,tata - box bind protein
trigeminal nerve,hyponyme,mandibular nerve
oxidoreductase,hyponyme,oxidoreductase act on ch - ch group donor
tumor cell culture,hyponyme,embryonal carcinoma stem cell
microtubule - associate protein,hyponyme,katanin
protein,hyponyme,reptilian protein
phosphatidylglycerol,hyponyme,cardiolipins
plant protein,hyponyme,phycoerythrin
rehabilitation,hyponyme,correction of hear impairment
eyelid disease,hyponyme,entropion
agrobacterium,hyponyme,agrobacterium tumefacien
heymann nephritis antigenic complex,hyponyme,low density lipoprotein receptor - relate protein-2
thrombolytic therapy,hyponyme,hirudin therapy
climatic process,hyponyme,tidal wave
corrinoid,hyponyme,vitamin b 12
hla - dr beta - chain,hyponyme,hla - drb3 chain
emigrant and immigrant,hyponyme,undocumented immigrant
opportunistic infection,hyponyme,superinfection
enterobacteriaceae,hyponyme,klebsiella
tanacetum,hyponyme,tanacetum parthenium
ether,hyponyme,acetal
geological phenomena,hyponyme,lake
statistics & numerical data ( qualifier ),hyponyme,supply & distribution ( qualifier )
midwestern united states,hyponyme,wisconsin
heart valve,hyponyme,aortic valve
organization and administration,hyponyme,patient identification system
rutin,hyponyme,hydroxyethylrutoside
culicidae,hyponyme,ochlerotatus
professional practice,hyponyme,professional staff committee
biological factor,hyponyme,host - derive cellular factor
growth and development,hyponyme,morphogenesis
diagnosis,hyponyme,diagnosis computer - assist
adam protein,hyponyme,adamts protein
ear,hyponyme,ear middle
neurodevelopmental disorder,hyponyme,schizophrenia childhood
tenericutes,hyponyme,acholeplasmataceae
transcription factor,hyponyme,pou domain factor
abnormality multiple,hyponyme,pentalogy of cantrell
image cytometry,hyponyme,laser scanning cytometry
phonation,hyponyme,singe
embryonic development,hyponyme,cell lineage
sugar alcohol dehydrogenase,hyponyme,d - xylulose reductase
proton pumps,hyponyme,proton - translocating atpase
embolism and thrombosis,hyponyme,thrombosis
pathological condition anatomical,hyponyme,solitary kidney
delivery of health care,hyponyme,delivery of health care integrate
isobutyrates,hyponyme,fibric acid
aortic disease,hyponyme,aortic arch syndrome
prostaglandins f synthetic,hyponyme,cloprostenol
transcription factor,hyponyme,proto - oncogene protein c - myb
hydrazones,hyponyme,carbonyl cyanide m - chlorophenyl hydrazone
intercellular junction,hyponyme,synapses
phenylalanine,hyponyme,n - formylmethionine leucyl - phenylalanine
pore form cytotoxic protein,hyponyme,antimicrobial cationic peptide
vesicular glutamate transport protein,hyponyme,vesicular glutamate transport protein 1
hospital,hyponyme,hospital private
lipid,hyponyme,waxes
public health,hyponyme,disease reservoir
financial management,hyponyme,budget
cornaceae,hyponyme,cornus
egg protein,hyponyme,ovomucin
intracellular signaling peptide and protein,hyponyme,phosphoinositide phospholipase c
stomach disease,hyponyme,gastritis
thyroid hormones,hyponyme,thyronine
polycomb repressive complex 2,hyponyme,retinoblastoma - bind protein 4
sapindaceae,hyponyme,paullinia
carbon - nitrogen ligase,hyponyme,argininosuccinate synthase
fibroblast,hyponyme,cancer - associate fibroblast
gram - negative facultatively anaerobic rod,hyponyme,chromobacterium
solute carrier protein,hyponyme,amino acid transport system y+l
receptor serotonin 5-ht1,hyponyme,receptor serotonin 5-ht1d
education professional,hyponyme,education nursing
gram - negative aerobic rod and cocci,hyponyme,flavobacteriaceae
hydrocarbon fluorinate,hyponyme,sevoflurane
medicine,hyponyme,regenerative medicine
asia southeastern,hyponyme,philippines
cystatin,hyponyme,salivary cystatin
genital diseases male,hyponyme,reproductive tract infection
germ layers,hyponyme,endoderm
ally health occupation,hyponyme,audiology
aniline compounds,hyponyme,p - dimethylaminoazobenzene
gene component,hyponyme,open reading frame
equipment and supply,hyponyme,feminine hygiene product
food handling,hyponyme,pasteurization
dentistry,hyponyme,dental atraumatic restorative treatment
tectiviridae,hyponyme,bacteriophage prd1
learn disorder,hyponyme,dyslexia
bacillale,hyponyme,pasteuria
pancreatic hormones,hyponyme,pancreatic polypeptide
sign and symptom respiratory,hyponyme,dyspnea
appalachian region,hyponyme,kentucky
dna,hyponyme,dna single - strand
urea cycle disorder inborn,hyponyme,argininosuccinic aciduria
conjunctivitis,hyponyme,conjunctivitis viral
mice knockout,hyponyme,mice 129 strain
reproductive and urinary physiological phenomenon,hyponyme,urinary tract physiological phenomenon
acids heterocyclic,hyponyme,isonicotinic acid
phenylalanine,hyponyme,nateglinide
encephalomyocarditis virus,hyponyme,maus elberfeld virus
penicillins,hyponyme,amdinocillin
receptor nk cell lectin - like,hyponyme,nk cell lectin - like receptor subfamily k
publication format,hyponyme,calendar
neural tube defect,hyponyme,anencephaly
e2f transcription factor,hyponyme,e2f3 transcription factor
cell differentiation,hyponyme,adipogenesis
lipoprotein,hyponyme,apolipoproteins
chromatography liquid,hyponyme,capillary electrochromatography
south america,hyponyme,argentina
inhibition ( psychology ),hyponyme,reactive inhibition
macromolecular substance,hyponyme,polymer
adenoma,hyponyme,adenoma bile duct
decompression surgical,hyponyme,diskectomy
respiratory tract infection,hyponyme,rhinoscleroma
dry eye syndrome,hyponyme,keratoconjunctivitis sicca
spermidine,hyponyme,spermine
mutagens,hyponyme,aneugens
sox transcription factor,hyponyme,soxf transcription factor
diet,hyponyme,fast
remote sense technology,hyponyme,satellite imagery
cetacea,hyponyme,whale
complementary therapy,hyponyme,prolotherapy
enkephalin methionine,hyponyme,d - ala(2)mephe(4)met(0)-ol - enkephalin
enteroendocrine cell,hyponyme,enterochromaffin cell
sulfonylurea compound,hyponyme,glyburide
abdominal injury,hyponyme,splenic rupture
intracellular space,hyponyme,cytoplasm
receptors interleukin,hyponyme,receptor interleukin-1
extracellular signal - regulate map kinase,hyponyme,mitogen - activate protein kinase 7
slow virus disease,hyponyme,pneumonia progressive interstitial of sheep
poultry,hyponyme,poultry product
health care cost,hyponyme,direct service cost
azo compound,hyponyme,trypan blue
social sciences,hyponyme,demography
equipment and supply,hyponyme,radiation equipment and supply
guanosine diphosphate sugars,hyponyme,guanosine diphosphate mannose
hydroxamic acid,hyponyme,bufexamac
virus physiological phenomenon,hyponyme,virus inactivation
sleep disorder intrinsic,hyponyme,sleep apnea syndrome
fagale,hyponyme,juglandaceae
thiophene,hyponyme,ticrynafen
antigens differentiation b - lymphocyte,hyponyme,cd5 antigen
dimercaprol,hyponyme,unithiol
azoxymethane,hyponyme,cycasin
angiogenic protein,hyponyme,angiopoietin - like protein
lipoprotein(a ),hyponyme,apoprotein(a )
hematoma,hyponyme,hematoma epidural cranial
glutamate,hyponyme,pyrrolidonecarboxylic acid
cytochrome p-450 enzyme system,hyponyme,cytochrome p450 family 7
trichuroidea,hyponyme,trichinella
peritoneum,hyponyme,peritoneal cavity
sinus thrombosis intracranial,hyponyme,sagittal sinus thrombosis
asia southeastern,hyponyme,malaysia
cardiac imaging technique,hyponyme,cardiac - gate imaging technique
heterocyclic compound fuse - ring,hyponyme,heterocyclic compound 3-ring
immunity cellular,hyponyme,immunologic surveillance
nitrogen,hyponyme,nitrogen isotope
fabaceae,hyponyme,trigonella
enzyme and coenzyme,hyponyme,coenzymes
neuroscience,hyponyme,neurophysiology
tocopherol,hyponyme,alpha - tocopherol
aza compound,hyponyme,azacitidine
agaricale,hyponyme,volvariella
woman,hyponyme,woman work
surgical flap,hyponyme,free tissue flap
nursing research,hyponyme,clinical nursing research
herpes simplex,hyponyme,stomatitis herpetic
pathologic process,hyponyme,disease
subtraction technique,hyponyme,radiography dual - energy scan projection
ovulation,hyponyme,luteolysis
eukaryota,hyponyme,rhizaria
urologic surgical procedure,hyponyme,urologic surgical procedure male
repressor protein,hyponyme,positive regulatory domain i - bind factor 1
guanine nucleotide,hyponyme,guanosine triphosphate
thiamine,hyponyme,thiamine pyrophosphate
macrocyclic compound,hyponyme,calixarenes
interpersonal relation,hyponyme,family conflict
climatic process,hyponyme,cyclonic storm
microscopy,hyponyme,intravital microscopy
microviridae,hyponyme,microvirus
energy metabolism,hyponyme,substrate cycling
anemia macrocytic,hyponyme,anemia megaloblastic
angiogenesis modulating agent,hyponyme,angiogenesis inhibitor
behavior therapy,hyponyme,sleep phase chronotherapy
sheep,hyponyme,sheep bighorn
intestinal disease,hyponyme,duodenal disease
prisoner,hyponyme,prisoner of war
bivalvia,hyponyme,unionidae
acridine,hyponyme,acridone
nuclear protein,hyponyme,nuclear receptor interact protein 1
tetrazoles,hyponyme,losartan
coumarins,hyponyme,esculin
vaccinium,hyponyme,blueberry plant
ependymoma,hyponyme,glioma subependymal
psychology industrial,hyponyme,absenteeism
united states public health service,hyponyme,national institutes of health ( u.s . )
azo compound,hyponyme,amaranth dye
publication format,hyponyme,address
nerve growth factor,hyponyme,netrin
homeodomain protein,hyponyme,hepatocyte nuclear factor 1
gas,hyponyme,nitrogen oxide
human right,hyponyme,consumer advocacy
cytokine,hyponyme,oncostatin m
hydrazine,hyponyme,carbidopa
psychiatry,hyponyme,ethnopsychology
genitalia male,hyponyme,epididymis
tetrapyrrole,hyponyme,chlorophyll
licensure,hyponyme,licensure medical
peroxidase,hyponyme,peroxiredoxin
pyrimidine nucleosides,hyponyme,uridine
vision disorder,hyponyme,night blindness
chemical action and use,hyponyme,pharmacologic action
actinoid series elements,hyponyme,uranium
annexins,hyponyme,annexin a4
continuity of patient care,hyponyme,patient discharge
ear disease,hyponyme,congenital microtia
retinoid,hyponyme,bexarotene
coal,hyponyme,coke
specialty use of chemical,hyponyme,fixatives
receptor gastrointestinal hormone,hyponyme,glucagon - like peptide receptor
bone marrow disease,hyponyme,myelodysplastic syndrome
tooth disease,hyponyme,tooth resorption
3-hydroxyacyl coa dehydrogenase,hyponyme,peroxisomal multifunctional protein-2
patient outcome assessment,hyponyme,minimal clinically important difference
heterocyclic compound 1-ring,hyponyme,thiophene
genitalia male,hyponyme,prostate
oligonucleotides,hyponyme,antagomirs
laboratory,hyponyme,laboratories hospital
environment and public health,hyponyme,public health
historical geographic location,hyponyme,new guinea
publishing,hyponyme,plagiarism
india,hyponyme,sikkim
macrolide,hyponyme,antimycin a
transition element,hyponyme,iron
paranasal sinus disease,hyponyme,paranasal sinus neoplasm
cytological technique,hyponyme,enzyme - link immunospot assay
picornaviridae infection,hyponyme,enterovirus infection
arthritis,hyponyme,arthritis infectious
egg protein,hyponyme,ovalbumin
hyperlipoproteinemias,hyponyme,hyperlipoproteinemia type v
language disorder,hyponyme,agraphia
hiv infections,hyponyme,aids - relate opportunistic infection
natural disaster,hyponyme,cyclonic storm
organelles,hyponyme,vault ribonucleoprotein particles
hypersensitivity immediate,hyponyme,conjunctivitis allergic
limb deformitie congenital,hyponyme,thanatophoric dysplasia
electroencephalography phase synchronization,hyponyme,cortical synchronization
vein,hyponyme,renal vein
genetic phenomenon,hyponyme,inbreede depression
specialty use of chemical,hyponyme,nerve agent
necrobiotic disorder,hyponyme,necrobiotic xanthogranuloma
abnormality multiple,hyponyme,netherton syndrome
flavoprotein,hyponyme,thioredoxin - disulfide reductase
medicine,hyponyme,social medicine
ether,hyponyme,phenyl ether
chemistry technique analytical,hyponyme,analytic sample preparation method
signal lymphocytic activation molecule family,hyponyme,cd48 antigen
physicians,hyponyme,rheumatologist
nurse,hyponyme,nurse practitioner
ectodermal dysplasia,hyponyme,neurocutaneous syndrome
nystagmus pathologic,hyponyme,nystagmus congenital
administration intravenous,hyponyme,injection intravenous
protein,hyponyme,ubiquitin
heterocyclic compound 1-ring,hyponyme,oxazines
pheromone,hyponyme,mating factor
receptor protein - tyrosine kinase,hyponyme,receptor vascular endothelial growth factor
advertising as topic,hyponyme,direct - to - consumer advertising
disease attribute,hyponyme,catastrophic illness
ehrlichiosis,hyponyme,heartwater disease
hla antigens,hyponyme,hla - a antigen
canada,hyponyme,prince edward island
amdinocillin,hyponyme,amdinocillin pivoxil
metabolic network and pathway,hyponyme,kallikrein - kinin system
abnormality multiple,hyponyme,nail - patella syndrome
duodenal disease,hyponyme,duodenal neoplasm
nanoparticles,hyponyme,nanocapsule
embryonic structure,hyponyme,gastrula
biochemical phenomena,hyponyme,down - regulation
liliale,hyponyme,smilacaceae
insurance health,hyponyme,insurance pharmaceutical service
hla - d antigen,hyponyme,hla - dq antigen
ocular physiological phenomenon,hyponyme,refraction ocular
virus,hyponyme,hepatitis virus
carrier protein,hyponyme,transferrin - bind protein
organism genetically modify,hyponyme,microorganism genetically - modify
adaptor protein signal transducing,hyponyme,receptor activity - modify protein
varicellovirus,hyponyme,herpesvirus 1 equid
brain disease,hyponyme,brain neoplasm
receptor steroid,hyponyme,receptor glucocorticoid
eutheria,hyponyme,cetacea
rosaceae,hyponyme,geum
pesticide,hyponyme,insect repellent
disulfides,hyponyme,cystine
fetus,hyponyme,fetal blood
rna nucleotidyltransferases,hyponyme,rna replicase
brain concussion,hyponyme,contrecoup injury
matrix metalloproteinase membrane - associated,hyponyme,matrix metalloproteinase 17
anastomosis surgical,hyponyme,blalock - taussig procedure
guideline,hyponyme,practice guideline
parent,hyponyme,mother
scandinavian and nordic country,hyponyme,finland
evidence - base practice,hyponyme,evidence - base medicine
plant virus,hyponyme,phycodnaviridae
receptor lymphocyte homing,hyponyme,lymphocyte function - associate antigen-1
reaction time,hyponyme,refractory period psychological
chromatiaceae,hyponyme,chromatium
peer group,hyponyme,peer influence
historical geographic location,hyponyme,commonwealth of independent state
head and neck neoplasm,hyponyme,squamous cell carcinoma of head and neck
heart defect congenital,hyponyme,leopard syndrome
vaccine synthetic,hyponyme,vaccine virus - like particle
sequence analysis,hyponyme,sequence analysis rna
diagnostic technique and procedure,hyponyme,surgical clearance
nucleobase nucleoside nucleotide and nucleic acid transport protein,hyponyme,nucleotide transport protein
person,hyponyme,vegetarian
virus disease,hyponyme,viremia
dyskinesias,hyponyme,myoclonus
pregnadiene,hyponyme,pregnadienetriol
sheep disease,hyponyme,pulmonary adenomatosis ovine
social planning,hyponyme,urban renewal
lanthanoid series element,hyponyme,europium
niemann - pick disease,hyponyme,niemann - pick disease type b
health facility,hyponyme,medical office building
thermoproteale,hyponyme,thermoproteaceae
forensic medicine,hyponyme,paternity
virus,hyponyme,dna virus
phosphoinositide phospholipase c,hyponyme,phospholipase c beta
respiratory tract fistula,hyponyme,bronchial fistula
axon,hyponyme,neurite
clinical study,hyponyme,clinical trial protocol
deficiency disease,hyponyme,protein deficiency
history 21st century,hyponyme,fukushima nuclear accident
infant newborn disease,hyponyme,hyperostosis cortical congenital
african continental ancestry group,hyponyme,african americans
pore form cytotoxic protein,hyponyme,gramicidin
genome components,hyponyme,isochore
staphylococcal infection,hyponyme,pneumonia staphylococcal
prochlorophyte,hyponyme,prochlorococcus
respiratory tract infection,hyponyme,lung abscess
south america,hyponyme,chile
orthodontics,hyponyme,orthodontics interceptive
accounting,hyponyme,financial audit
dna repair - deficiency disorder,hyponyme,rothmund - thomson syndrome
picolinic acid,hyponyme,fusaric acid
pigment biological,hyponyme,hemocyanins
proto - oncogene protein,hyponyme,proto - oncogene protein c - jun
bacterial secretion system,hyponyme,type vi secretion system
dwarfism,hyponyme,mulibrey nanism
brucellosis,hyponyme,brucellosis bovine
island,hyponyme,indonesia
enzyme inhibitor,hyponyme,5-lipoxygenase - activate protein inhibitor
receptor adrenergic,hyponyme,receptor adrenergic beta
methanomicrobiale,hyponyme,methanospirillum
molecular structure,hyponyme,amino acid sequence
organometallic compound,hyponyme,organogold compound
arsenical,hyponyme,arsenite
enzyme inhibitor,hyponyme,phosphodiesterase inhibitor
celastrales,hyponyme,celastraceae
bronchiolitis,hyponyme,bronchiolitis obliteran
phosphoprotein phosphatase,hyponyme,calcineurin
chorea,hyponyme,huntington disease
calorimetry,hyponyme,calorimetry indirect
social control formal,hyponyme,coercion
esociforme,hyponyme,esocidae
electromagnetic phenomenon,hyponyme,electron
neoplasms fibrous tissue,hyponyme,fibrosarcoma
ribosome subunit large,hyponyme,ribosome subunit large archaeal
receptor amino acid,hyponyme,receptor glutamate
thiourea,hyponyme,guanylthiourea
heterogeneous - nuclear ribonucleoprotein group a - b,hyponyme,heterogeneous nuclear ribonucleoprotein a1
biomarker,hyponyme,oligoclonal band
light,hyponyme,luminescence
adp ribose transferase,hyponyme,sirtuin
hemostatic disorder,hyponyme,shwartzman phenomenon
erythromycin,hyponyme,clarithromycin
receptor ldl,hyponyme,receptor scavenger
vagus nerve,hyponyme,nodose ganglion
metal,hyponyme,metal heavy
pyridoxal,hyponyme,pyridoxal phosphate
cephalosporin,hyponyme,cephaloridine
proprioception,hyponyme,kinesthesis
tosyl compound,hyponyme,tosylarginine methyl ester
neuropeptide,hyponyme,calcitonin
skin disease genetic,hyponyme,ichthyosis x - link
cytochrome p-450 enzyme system,hyponyme,cytochrome p450 family 6
adrenocorticotropic hormone,hyponyme,cosyntropin
azepine,hyponyme,meptazinol
biological science discipline,hyponyme,physiology
emergency medicine,hyponyme,pediatric emergency medicine
mice inbreed strain,hyponyme,mice hairless
angiogenic protein,hyponyme,angiostatic protein
receptor dopamine,hyponyme,receptor dopamine d1
oxidoreductase act on sulfur group donor,hyponyme,thioredoxin - disulfide reductase
plant extract,hyponyme,senna extract
cryopreservation,hyponyme,freeze dry
genetic disease inborn,hyponyme,lennox gastaut syndrome
benzamides,hyponyme,deet
equipment and supply,hyponyme,quantum dot
receptor protein - tyrosine kinase,hyponyme,discoidin domain receptor
mucopolysaccharidose,hyponyme,mucopolysaccharidosis i
vesicular transport protein,hyponyme,tetraspanin 30
dietary supplement,hyponyme,prebiotic
health behavior,hyponyme,smoking reduction
publishing,hyponyme,journalism
terpene,hyponyme,sesquiterpene
cephamycin,hyponyme,cefoxitin
pregnancy,hyponyme,pregnancy multiple
histocompatibility antigen,hyponyme,hla antigens
mice transgenic,hyponyme,mice knockout
non - medical public and private facility,hyponyme,manufacturing and industrial facility
brain,hyponyme,gray matter
inheritance pattern,hyponyme,multifactorial inheritance
cerebral small vessel disease,hyponyme,melas syndrome
fabaceae,hyponyme,vigna
digestive system physiological phenomenon,hyponyme,deglutition
anthracenes,hyponyme,anthralin
oxygen consumption,hyponyme,anaerobic threshold
surgical procedure operative,hyponyme,ophthalmologic surgical procedure
histamine agent,hyponyme,histamine antagonist
tyrosine,hyponyme,phosphotyrosine
egg protein dietary,hyponyme,ovomucin
terminal repeat sequence,hyponyme,hiv long terminal repeat
uncoupling agent,hyponyme,proton ionophore
replica technique,hyponyme,corrosion casting
radioisotopes,hyponyme,thallium radioisotope
amino acid transport system x - ag,hyponyme,glutamate plasma membrane transport protein
quality of health care,hyponyme,quality assurance health care
fluorene,hyponyme,tilorone
microfilament protein,hyponyme,profilin
apiaceae,hyponyme,anethum graveolens
glucosidase,hyponyme,lactase - phlorizin hydrolase
ranunculales,hyponyme,ranunculaceae
mollusca,hyponyme,gastropoda
physiological effect of drug,hyponyme,antipyretic
vital sign,hyponyme,heart rate
puerperal disorder,hyponyme,depression postpartum
tissue preservation,hyponyme,semen preservation
mental retardation x - link,hyponyme,classical lissencephalie and subcortical band heterotopias
hymenostomatida,hyponyme,tetrahymenina
viridan streptococci,hyponyme,streptococcus mitis
denture,hyponyme,denture overlay
epiphysis,hyponyme,growth plate
technology pharmaceutical,hyponyme,drug packaging
guanosine diphosphate,hyponyme,guanosine diphosphate sugars
cattle disease,hyponyme,infectious bovine rhinotracheitis
dosage form,hyponyme,suppository
vasculitis,hyponyme,malignant atrophic papulosis
heterocyclic compounds,hyponyme,acids heterocyclic
mycose,hyponyme,dermatomycose
anthozoa,hyponyme,renilla
health,hyponyme,sexual health
international agency,hyponyme,international planned parenthood federation
nervous system malformation,hyponyme,septo - optic dysplasia
endoscopy gastrointestinal,hyponyme,gastroscopy
water,hyponyme,mineral water
uterine cervical disease,hyponyme,uterine cervical erosion
magnoliopsida,hyponyme,araliaceae
amino acid essential,hyponyme,leucine
sea urchin,hyponyme,arbacia
para - aminobenzoates,hyponyme,cisapride
immune system phenomenon,hyponyme,cytotoxicity immunologic
biochemical phenomena,hyponyme,osmoregulation
antiviral agent,hyponyme,anti - retroviral agent
macrocyclic compound,hyponyme,peptides cyclic
spinal nerve,hyponyme,brachial plexus
naphthaleneacetic acid,hyponyme,naproxen
psychodrama,hyponyme,role playing
neoplastic process,hyponyme,neoplasm regression spontaneous
tachykinin,hyponyme,neurokinin a
cell adhesion molecule,hyponyme,cadherin relate protein
cellulose,hyponyme,hypromellose derivative
body region,hyponyme,perineum
indole,hyponyme,indolequinone
adenoviridae,hyponyme,atadenovirus
neoplasms complex and mixed,hyponyme,thymoma
strongylida,hyponyme,heligmosomatoidea
arylsulfonic acid,hyponyme,sulfanilic acid
uterine neoplasm,hyponyme,endometrial neoplasm
chemical action and use,hyponyme,toxic action
hispanic americans,hyponyme,mexican americans
tissue preservation,hyponyme,cryopreservation
triazole,hyponyme,amitrole
digestive system physiological phenomenon,hyponyme,hepatobiliary elimination
metabolism,hyponyme,acid - base equilibrium
endocrine gland neoplasm,hyponyme,parathyroid neoplasms
alkalosis,hyponyme,alkalosis respiratory
enterococcaceae,hyponyme,enterococcus
inorganic chemical,hyponyme,magnesium compounds
potassium channel calcium - activate,hyponyme,intermediate - conductance calcium - activate potassium channel
dysostose,hyponyme,synostosis
organ transplantation,hyponyme,kidney transplantation
statistic as topic,hyponyme,regression analysis
cranial nerve injury,hyponyme,oculomotor nerve injury
review,hyponyme,consensus development conference
benzylidene compound,hyponyme,stilbene
carotenoid,hyponyme,abscisic acid
biomedical and dental material,hyponyme,cariostatic agent
drug eruption,hyponyme,hand - foot syndrome
vasculitis,hyponyme,phlebitis
amino acid essential,hyponyme,tryptophan
professional practice,hyponyme,hospital - physician relation
glycogen storage disease,hyponyme,glycogen storage disease type vi
autoimmune disease,hyponyme,hepatitis autoimmune
genomics,hyponyme,epigenomic
hypersensitivity immediate,hyponyme,food hypersensitivity
technetium compound,hyponyme,technetium tc 99 m sulfur colloid
skin disease eczematous,hyponyme,dermatitis atopic
benzimidazole,hyponyme,2-pyridinylmethylsulfinylbenzimidazoles
transcription factor,hyponyme,receptors aryl hydrocarbon
fabaceae,hyponyme,hymenaea
southeastern united states,hyponyme,north carolina
adaptation psychological,hyponyme,orientation
behavior,hyponyme,accident proneness
dna,hyponyme,dna cruciform
dna virus,hyponyme,tectiviridae
compute methodology,hyponyme,database management system
videoconferencing,hyponyme,webcast as topic
lymphopenia,hyponyme,t - lymphocytopenia idiopathic cd4-positive
polydactyly,hyponyme,short rib - polydactyly syndrome
caspase effector,hyponyme,caspase 14
genetic therapy,hyponyme,target gene repair
microbiological technique,hyponyme,microbial sensitivity test
galactosidase,hyponyme,beta - galactosidase
spondylitis,hyponyme,spondylarthritis
hormone,hyponyme,peptide hormone
vein,hyponyme,cerebral vein
antibody,hyponyme,immunoglobulin isotype
learning,hyponyme,condition ( psychology )
culture,hyponyme,psychosocial deprivation
pyridinium compound,hyponyme,cetylpyridinium
datum collection,hyponyme,datum accuracy
gammacoronavirus,hyponyme,infectious bronchitis virus
plant lectin,hyponyme,peanut agglutinin
polymer,hyponyme,plastic
non - medical public and private facility,hyponyme,adult day care center
intracranial hemorrhage traumatic,hyponyme,hematoma subdural
penile disease,hyponyme,balanitis
genetic disease inborn,hyponyme,nail - patella syndrome
neoplastic syndromes hereditary,hyponyme,neurofibromatoses
drug therapy,hyponyme,chemoprevention
magnetometry,hyponyme,magnetocardiography
laboratory chemical,hyponyme,molecular probe
adenocarcinoma,hyponyme,carcinoma lobular
metabolism,hyponyme,enterohepatic circulation
sex reassignment procedure,hyponyme,sex reassignment surgery
trichothecenes,hyponyme,t-2 toxin
cell respiration,hyponyme,respiratory burst
cell,hyponyme,spheroplast
cycloheptane,hyponyme,sesquiterpenes guaiane
tegmentum mesencephali,hyponyme,oculomotor nuclear complex
leishmaniasis cutaneous,hyponyme,leishmaniasis diffuse cutaneous
plasmid,hyponyme,plant tumor - induce plasmid
diabetic neuropathy,hyponyme,diabetic foot
receptor - like protein tyrosine phosphatase,hyponyme,receptor - like protein tyrosine phosphatase class 1
rectal neoplasm,hyponyme,anus neoplasm
rna - bind protein,hyponyme,iron regulatory protein 1
magnetic resonance imaging,hyponyme,fluorine-19 magnetic resonance imaging
consumer organization,hyponyme,community participation
r - snare protein,hyponyme,vesicle - associate membrane protein 3
fluoride,hyponyme,sulfur hexafluoride
retina,hyponyme,retinal pigment epithelium
stramenopile,hyponyme,chrysophyta
catalog,hyponyme,catalog drug
rhamnaceae,hyponyme,ceanothus
maf transcription factor,hyponyme,maf transcription factor large
immunoglobulin fc fragments,hyponyme,cd4 immunoadhesin
attitude to health,hyponyme,health services misuse
physiology,hyponyme,psychophysiology
